Prompt,Completion
Hair Care Collection Library,"Hair Care
We have a proud heritage of creating natural hair care in our original 1970s Mayfair salon. Our pioneering founders had a forward-thinking, holistic approach to hair styling with a conscious care for the environment. Our fragrant formulas are targeted to suit all hair types and elevate a normal routine. Our new Botanical Hair Care (2021) contains sustainably sourced herbs: nettle, camomile, fennel and coriander. Paying homage to our home, London, we chose to grow our ingredients in once-abandoned underground tunnels, using remarkable hydroponic systems and LED technology. This means they’re produced year-round in a controlled, pesticide-free environment, unaffected by weather and seasons. Using 70% less water than a traditional farm, this method keeps all nutrients in a closed loop system to reduce agricultural runoff. Plus, our packaging is made from 100% post-consumer recycled plastic.

Volumising Collection With Nettle
For Fine Hair
Green nettle helps boost hair, leaving it looking fuller with a smooth and shiny fi nish. Strands are beautifully perfumed with fresh violet leaf and comforting musk.

TOP
Violet leaf - Fresh
Eucalyptus
Peppermin

HEART
Nettle - Green
Geranium
Jasmine

BASE
Musk - Comforting
Patchouli
Sandalwood

OVERARCHING NOTE Nettle
Nettle has a distinctively green character, like a blend of violet leaf and mint. It lends a natural green top note to the fragrance.

Hydrating Collection With Camomile
For Normal Hair

Soothing camomile helps restore hair’s moisture balance, lending eff ortless shine and a smooth touch. Finished with a revitalising scent trail of fresh lemon zest and woody vetiver.

TOP
Lemon zest - Fresh
Mandarin

HEART
Camomile - Soothing
Lavender
Sage

BASE
Vetiver - Woody
Patchouli
Black pepper

OVERARCHING NOTE Camomile
With herbaceous and fruity facets, camomile oil enhances the powdery, comforting aspect of the fragrance.

Repairing Collection With Fennel
For Damaged Hair

Aromatic fennel leaves hair feeling deeply nourished and beautifully lustrous. Comforting lavender and musk lend a soothing fragrant fi nish.

TOP
Fennel – Aromatic
Mandarin
Carrot seed

HEART
Lavender – Soothing
Rose
Jasmine

BASE
Musk – Comforting
Sandalwood
Tonka bean

OVERARCHING NOTE Fennel
Featuring earthy, floral and aniseed-like facets, fennel energises the fragrance with a cool freshness.

Balancing Shampoo With Coriander
For Oily Hair
Citrusy coriander leaves hair feeling thoroughly refreshed, rebalanced and serenely nurtured. Uplifting bergamot and woody vetiver create an enlivening scent

TOP
Bergamot – Uplifting
Grapefruit
Mandarin

HEART
Coriander leaf –
Citrusy
Lavender
Rosemary

BASE
Vetiver – Woody
Musk
Sandalwood

OVERARCHING NOTE Coriander
Green with a citrusy mandarin-like note, coriander helps bring a freshly clean note to the fragrance.

What Products Are Available In This Collection?
SHAMPOO
Nettle, Camomile, Fennel, Coriander, Ginger
Indian Cress, Kumudu, Cloudberry, Papyrus Reed, Plum-kadu
HAIR MASK
Fennel, Red Dulse Seaweed
HAIR MIST
Suede Orris, Labdanum Dusk
CONDITIONER
Nettle, Camomile, Fennel
Indian Cress, Kumudu, Cloudberry, Papyrus Reed, Plum-kadu
*Ginger, Kumudu, Cloudberry, Papyrus Reed and Plum-kadu are being discontinued

The Ritual
Our Botanical Hair Care formulas target normal, fine, damaged and oily hair types.
Each fragrance complements each other.

CLEANSE
Featuring amino acids, all our shampoos thoroughly cleanse and purify the scalp, roots and strands. Indian Cress and Coriander helps refresh greasy hair while Nettle leave it feeling volumised.
CONDITION
All our conditioners richly replenish, detangle and nourish locks. Camomile helps deeply moisturise for an enviably silky-soft touch. Apply to the mid-lengths and ends to avoid build-up or switch-up your regime and try co-washing: using conditioner before shampoo.
TREAT
For an extra level of conditioning, apply our Hair Masks on clean, towel-dried hair. Comb through and leave on for at least 15 minutes, then rinse. Our Intense Repairing Hair Mask With Fennel works to revive hair to feel ultra-soft and healthy-looking.
FRAGRANCE
Continue the ritual with Suede Orris or Labdanum Dusk Hair Mist, formulated to be kinder to hair without drying it out. Veil tresses in Tuscan orris or resinous labdanum for a long-lasting impression.
"
Hair Care - Heritage,
Hair Care Profiling - Quiz,
Hair Care  - Quiz,
Hair Care - Bringing it to Life,
Volumising Collection with Nettle,
Repairing Collection With Fennel,
Hydrating Collection With Camomile,
Balancing Shampoo with Coriander,
The Science of Hair,
The Types of Hair,
Purifying collection with Indian Cress,
Thickening Shampoo with Ginger Extract,
Haircare Profiling & Demonstration,
Hair Hacks,
Category Usage,
The Growth Cycle,
Chamomile,
Coriander,
Fine Liquid Hand Wash,
Hand Cream ,
Hand Lotion,
Hand Sanitisers,
Re-charge Black Pepper - Focus on the WOW,
Re-charge Black Pepper - Eliminating the Ouches,
Re-charge Black Pepper- Last Impressions,
Re-charge Black Pepper - First Impressions,
Flora Luminare - Quiz,
Carla Chabert - Coastal Cypress & Sea Fennel,Carla Chabert discusses her creation - Coastal Cypress & Sea Fennel
Carla Chabert - Fiery Pink Pepper,Carla Chabert discusses her creation - Fiery Pink Pepper
Jacques Chabert - Re-charge Black Pepper,Jacques Chabert discusses his creation - Re-charge Black Pepper
Orange & Bergamot - Focus on the WOW,
Orange & Bergamot - Eliminating the Ouches,
